#Heights and other data from 33 undergraduates
#
"gender" "height" "weight" "momHeight" "momWeight" "dadHeight" "dadWeight"
"1" 1 63 112 65 115 67.5 145
"2" 1 63 125 61 120 70 160
"3" 1 66 130 63 115 69 170
"4" 1 62 110 60 115 70 180
"5" 1 63 140 62 170 70 185
"6" 1 64 120 67 115 71 180
"7" 1 66 120 65 140 70 175
"8" 1 61 99 62 110 65 165
"9" 1 68 180 66 140 73 270
"10" 1 68 160 65 120 72 170
"11" 1 64.75 122 60 114 67 134
"12" 1 67 160 64 160 71 170
"13" 1 64 112 65 105 67 135
"14" 1 64 120 61 150 71 180
"15" 1 71 140 68 160 68 185
"16" 1 61 120 61 115 65 150
"17" 0 72 148 62 120 74 175
"18" 0 71 140 67 200 71 180
"19" 0 68 140 64 150 68 165
"20" 0 68.5 140 61 120 69 165
"21" 0 69 230 62 140 65 170
"22" 0 67 155 62 115 68 165
"23" 0 69 135 62 160 66 170
"24" 0 67 40 62 120 69 160
"25" 0 76 210 65 150 76 210
"26" 0 72 155 66 140 72 190
"27" 0 68 160 64 140 72 150
"28" 0 71 215 61 105 72 200
"29" 0 70 150 62 115 67.5 190
"30" 0 69 135 60 105 74 180
"31" 0 67.5 165 63 118 66 180
"32" 0 72 200 63 140 69 190
"33" 0 72 230 63 125 69 185
