# ratings of documents by expert and novice judges
"ID" "annID" "docID" "round" "presentation.order" "rating" "ranking" "Naive.Expert"
"1" "subj66" "doc382" 1 1 3 6 "expert"
"2" "subj66" "doc057" 1 2 4 5 "expert"
"3" "subj66" "doc536" 1 3 5 1 "expert"
"4" "subj66" "doc193" 1 4 4 2 "expert"
"5" "subj66" "doc309" 1 5 2 10 "expert"
"6" "subj66" "doc254" 1 6 4 3 "expert"
"7" "subj66" "doc027" 1 7 2 9 "expert"
"8" "subj66" "doc092" 1 8 3 8 "expert"
"9" "subj66" "doc022" 1 9 3 7 "expert"
"10" "subj66" "doc032" 1 10 4 4 "expert"
"11" "subj66" "doc188" 2 1 3 8 "expert"
"12" "subj66" "doc275" 2 2 4 4 "expert"
"13" "subj66" "doc313" 2 3 2 10 "expert"
"14" "subj66" "doc243" 2 4 5 3 "expert"
"15" "subj66" "doc378" 2 5 3 9 "expert"
"16" "subj66" "doc055" 2 6 4 5 "expert"
"17" "subj66" "doc407" 2 7 4 7 "expert"
"18" "subj66" "doc521" 2 8 5 1 "expert"
"19" "subj66" "doc168" 2 9 5 2 "expert"
"20" "subj66" "doc384" 2 10 4 6 "expert"
"21" "subj66" "doc330" 3 1 4 9 "expert"
"22" "subj66" "doc047" 3 2 5 3 "expert"
"23" "subj66" "doc529" 3 3 4 6 "expert"
"24" "subj66" "doc501" 3 4 5 1 "expert"
"25" "subj66" "doc218" 3 5 5 4 "expert"
"26" "subj66" "doc405" 3 6 4 10 "expert"
"27" "subj66" "doc481" 3 7 5 2 "expert"
"28" "subj66" "doc300" 3 8 4 7 "expert"
"29" "subj66" "doc115" 3 9 5 5 "expert"
"30" "subj66" "doc192" 3 10 4 8 "expert"
"31" "subj66" "doc086" 4 1 3 8 "expert"
"32" "subj66" "doc176" 4 2 2 10 "expert"
"33" "subj66" "doc453" 4 3 3 6 "expert"
"34" "subj66" "doc509" 4 4 3 9 "expert"
"35" "subj66" "doc540" 4 5 5 1 "expert"
"36" "subj66" "doc514" 4 6 5 3 "expert"
"37" "subj66" "doc046" 4 7 4 7 "expert"
"38" "subj66" "doc036" 4 8 4 4 "expert"
"39" "subj66" "doc202" 4 9 4 5 "expert"
"40" "subj66" "doc357" 4 10 5 2 "expert"
"41" "subj66" "doc345" 5 1 3 7 "expert"
"42" "subj66" "doc209" 5 2 4 3 "expert"
"43" "subj66" "doc467" 5 3 1 10 "expert"
"44" "subj66" "doc053" 5 4 4 4 "expert"
"45" "subj66" "doc479" 5 5 2 9 "expert"
"46" "subj66" "doc140" 5 6 3 8 "expert"
"47" "subj66" "doc148" 5 7 4 6 "expert"
"48" "subj66" "doc285" 5 8 3 5 "expert"
"49" "subj66" "doc502" 5 9 5 2 "expert"
"50" "subj66" "doc348" 5 10 5 1 "expert"
"51" "subj66" "doc082" 6 1 4 1 "expert"
"52" "subj66" "doc264" 6 2 4 3 "expert"
"53" "subj66" "doc230" 6 3 3 10 "expert"
"54" "subj66" "doc488" 6 4 4 2 "expert"
"55" "subj66" "doc314" 6 5 4 5 "expert"
"56" "subj66" "doc370" 6 6 4 4 "expert"
"57" "subj66" "doc245" 6 7 3 8 "expert"
"58" "subj66" "doc372" 6 8 3 7 "expert"
"59" "subj66" "doc237" 6 9 4 6 "expert"
"60" "subj66" "doc249" 6 10 3 9 "expert"
"61" "subj66" "doc483" 7 1 4 5 "expert"
"62" "subj66" "doc292" 7 2 1 10 "expert"
"63" "subj66" "doc078" 7 3 4 4 "expert"
"64" "subj66" "doc005" 7 4 3 7 "expert"
"65" "subj66" "doc267" 7 5 3 6 "expert"
"66" "subj66" "doc143" 7 6 2 9 "expert"
"67" "subj66" "doc191" 7 7 5 3 "expert"
"68" "subj66" "doc315" 7 8 2 8 "expert"
"69" "subj66" "doc417" 7 9 4 1 "expert"
"70" "subj66" "doc244" 7 10 5 2 "expert"
"71" "subj66" "doc061" 8 1 3 8 "expert"
"72" "subj66" "doc018" 8 2 5 1 "expert"
"73" "subj66" "doc284" 8 3 1 10 "expert"
"74" "subj66" "doc504" 8 4 4 5 "expert"
"75" "subj66" "doc051" 8 5 4 4 "expert"
"76" "subj66" "doc410" 8 6 5 2 "expert"
"77" "subj66" "doc360" 8 7 2 9 "expert"
"78" "subj66" "doc507" 8 8 4 6 "expert"
"79" "subj66" "doc050" 8 9 5 3 "expert"
"80" "subj66" "doc414" 8 10 4 7 "expert"
"81" "subj66" "doc373" 9 1 4 1 "expert"
"82" "subj66" "doc174" 9 2 4 4 "expert"
"83" "subj66" "doc234" 9 3 4 2 "expert"
"84" "subj66" "doc144" 9 4 4 6 "expert"
"85" "subj66" "doc510" 9 5 4 3 "expert"
"86" "subj66" "doc268" 9 6 3 8 "expert"
"87" "subj66" "doc351" 9 7 3 9 "expert"
"88" "subj66" "doc023" 9 8 4 5 "expert"
"89" "subj66" "doc325" 9 9 3 10 "expert"
"90" "subj66" "doc327" 9 10 3 7 "expert"
"91" "subj66" "doc485" 10 1 4 6 "expert"
"92" "subj66" "doc519" 10 2 3 8 "expert"
"93" "subj66" "doc432" 10 3 4 9 "expert"
"94" "subj66" "doc273" 10 4 5 1 "expert"
"95" "subj66" "doc109" 10 5 3 3 "expert"
"96" "subj66" "doc413" 10 6 4 4 "expert"
"97" "subj66" "doc080" 10 7 4 7 "expert"
"98" "subj66" "doc211" 10 8 4 2 "expert"
"99" "subj66" "doc208" 10 9 2 10 "expert"
"100" "subj66" "doc265" 10 10 4 5 "expert"
"101" "subj66" "doc279" 11 1 3 7 "expert"
"102" "subj66" "doc480" 11 2 5 2 "expert"
"103" "subj66" "doc525" 11 3 4 4 "expert"
"104" "subj66" "doc433" 11 4 4 6 "expert"
"105" "subj66" "doc154" 11 5 5 3 "expert"
"106" "subj66" "doc398" 11 6 2 10 "expert"
"107" "subj66" "doc118" 11 7 2 9 "expert"
"108" "subj66" "doc112" 11 8 5 1 "expert"
"109" "subj66" "doc353" 11 9 4 5 "expert"
"110" "subj66" "doc408" 11 10 3 8 "expert"
"111" "subj66" "doc096" 12 1 5 5 "expert"
"112" "subj66" "doc241" 12 2 5 3 "expert"
"113" "subj66" "doc298" 12 3 5 2 "expert"
"114" "subj66" "doc340" 12 4 4 6 "expert"
"115" "subj66" "doc286" 12 5 5 1 "expert"
"116" "subj66" "doc342" 12 6 5 4 "expert"
"117" "subj66" "doc185" 12 7 3 10 "expert"
"118" "subj66" "doc400" 12 8 4 9 "expert"
"119" "subj66" "doc015" 12 9 4 7 "expert"
"120" "subj66" "doc074" 12 10 4 8 "expert"
"121" "subj66" "doc489" 13 1 3 7 "expert"
"122" "subj66" "doc038" 13 2 4 5 "expert"
"123" "subj66" "doc394" 13 3 2 9 "expert"
"124" "subj66" "doc180" 13 4 4 4 "expert"
"125" "subj66" "doc311" 13 5 4 6 "expert"
"126" "subj66" "doc081" 13 6 5 2 "expert"
"127" "subj66" "doc054" 13 7 4 3 "expert"
"128" "subj66" "doc028" 13 8 2 8 "expert"
"129" "subj66" "doc356" 13 9 2 10 "expert"
"130" "subj66" "doc064" 13 10 5 1 "expert"
"131" "subj66" "doc041" 14 1 3 7 "expert"
"132" "subj66" "doc471" 14 2 4 6 "expert"
"133" "subj66" "doc135" 14 3 4 2 "expert"
"134" "subj66" "doc387" 14 4 4 3 "expert"
"135" "subj66" "doc196" 14 5 2 9 "expert"
"136" "subj66" "doc141" 14 6 1 10 "expert"
"137" "subj66" "doc322" 14 7 5 1 "expert"
"138" "subj66" "doc210" 14 8 3 4 "expert"
"139" "subj66" "doc344" 14 9 3 8 "expert"
"140" "subj66" "doc100" 14 10 4 5 "expert"
"141" "subj66" "doc220" 15 1 4 5 "expert"
"142" "subj66" "doc439" 15 2 4 6 "expert"
"143" "subj66" "doc291" 15 3 2 10 "expert"
"144" "subj66" "doc456" 15 4 5 3 "expert"
"145" "subj66" "doc497" 15 5 5 2 "expert"
"146" "subj66" "doc060" 15 6 4 8 "expert"
"147" "subj66" "doc438" 15 7 5 1 "expert"
"148" "subj66" "doc093" 15 8 4 9 "expert"
"149" "subj66" "doc199" 15 9 4 7 "expert"
"150" "subj66" "doc003" 15 10 5 4 "expert"
"151" "subj66" "doc182" 16 1 4 6 "expert"
"152" "subj66" "doc493" 16 2 3 7 "expert"
"153" "subj66" "doc217" 16 3 5 2 "expert"
"154" "subj66" "doc319" 16 4 4 8 "expert"
"155" "subj66" "doc128" 16 5 2 10 "expert"
"156" "subj66" "doc362" 16 6 3 9 "expert"
"157" "subj66" "doc517" 16 7 4 5 "expert"
"158" "subj66" "doc040" 16 8 5 1 "expert"
"159" "subj66" "doc312" 16 9 5 3 "expert"
"160" "subj66" "doc503" 16 10 4 4 "expert"
"161" "subj66" "doc490" 17 1 4 3 "expert"
"162" "subj66" "doc369" 17 2 2 10 "expert"
"163" "subj66" "doc207" 17 3 5 1 "expert"
